,rank,id,form_id,name,form,alias,move,move_rate,nature,nature_rate,ability,ability_rate,item,item_rate,terastal,terastal_rate
0149-000,1,149,0,カイリュー,,カイリュー,"['じしん', 'りゅうのまい', 'しんそく', 'はねやすめ', 'アンコール', 'けたぐり', 'スケイルショット', 'テラバースト', 'げきりん', 'アイススピナー']","[78.6, 66.4, 65.6, 27.8, 26.0, 24.5, 23.9, 19.8, 15.4, 11.4]","['いじっぱり', 'ようき', 'ずぶとい', 'わんぱく', 'ゆうかん', 'ひかえめ', 'おだやか', 'しんちょう', 'おくびょう', 'れいせい']","[80.9, 9.6, 2.4, 2.2, 1.2, 0.9, 0.5, 0.5, 0.3, 0.2]","['マルチスケイル', 'せいしんりょく']","[99.6, 0.4]","['あつぞこブーツ', 'いかさまダイス', 'ラムのみ', 'こだわりハチマキ', 'とつげきチョッキ', 'たべのこし', 'ゴツゴツメット', 'おんみつマント', 'じゃくてんほけん', 'するどいくちばし']","[25.2, 21.3, 15.0, 13.5, 6.0, 5.0, 5.0, 1.7, 1.7, 1.4]","['ノーマル', 'ひこう', 'はがね', 'じめん', 'フェアリー', 'ほのお', 'でんき', 'ドラゴン', 'みず', 'ステラ']","[39.8, 27.5, 10.9, 10.0, 5.5, 3.1, 2.0, 0.4, 0.4, 0.1]"
1018-000,2,1018,0,ブリジュラス,,ブリジュラス,"['ラスターカノン', 'りゅうせいぐん', 'エレクトロビーム', 'ボディプレス', 'ステルスロック', 'あくのはどう', '１０まんボルト', 'ドラゴンテール', 'ほえる', 'でんじは']","[68.1, 55.1, 46.8, 46.5, 41.4, 23.5, 22.4, 22.3, 15.1, 11.5]","['おくびょう', 'ひかえめ', 'ずぶとい', 'わんぱく', 'おだやか', 'しんちょう', 'のんき', 'なまいき', 'れいせい', 'むじゃき']","[37.4, 19.4, 18.3, 7.9, 6.7, 6.0, 0.8, 0.8, 0.5, 0.5]","['じきゅうりょく', 'がんじょう', 'すじがねいり']","[59.3, 40.7, 0.0]","['パワフルハーブ', 'たべのこし', 'オボンのみ', 'ふうせん', 'とつげきチョッキ', 'こだわりメガネ', 'レッドカード', 'イバンのみ', 'フィラのみ', 'ひかりのねんど']","[39.7, 15.3, 11.8, 6.3, 6.0, 4.6, 2.8, 2.6, 2.1, 1.6]","['ひこう', 'フェアリー', 'でんき', 'ステラ', 'みず', 'かくとう', 'むし', 'ゴースト', 'ドラゴン', 'はがね']","[31.1, 26.0, 16.4, 11.9, 4.1, 2.4, 2.1, 1.9, 1.9, 0.6]"
0901-001,3,901,1,ガチグマ,アカツキ,ガチグマ(アカツキ),"['ブラッドムーン', 'だいちのちから', 'しんくうは', 'ハイパーボイス', 'つきのひかり', 'あくび', 'めいそう', 'ムーンフォース', 'まもる', 'ちょうはつ']","[94.1, 76.3, 74.8, 67.0, 29.3, 18.1, 12.7, 8.4, 5.6, 4.4]","['ひかえめ', 'ずぶとい', 'れいせい', 'おくびょう', 'がんばりや', 'おだやか', 'のんき', 'なまいき', 'うっかりや', 'おっとり']","[74.1, 11.0, 5.8, 4.1, 2.4, 2.1, 0.3, 0.1, 0.0, 0.0]",['しんがん'],[100.0],"['とつげきチョッキ', 'シルクのスカーフ', 'たべのこし', 'きあいのタスキ', 'オボンのみ', 'アッキのみ', 'おんみつマント', 'いのちのたま', 'ゴツゴツメット', 'のどスプレー']","[37.3, 26.7, 13.5, 6.9, 6.1, 2.2, 1.6, 1.2, 0.8, 0.6]","['ノーマル', 'フェアリー', 'どく', 'ゴースト', 'みず', 'でんき', 'ほのお', 'かくとう', 'むし', 'ひこう']","[66.6, 14.6, 12.8, 1.4, 1.3, 0.7, 0.7, 0.6, 0.4, 0.3]"
1000-000,4,1000,0,サーフゴー,,サーフゴー,"['ゴールドラッシュ', 'シャドーボール', 'トリック', 'じこさいせい', 'わるだくみ', '１０まんボルト', 'きあいだま', 'テラバースト', 'でんじは', 'パワージェム']","[93.4, 92.9, 53.7, 48.4, 41.0, 17.5, 12.8, 6.8, 6.1, 5.4]","['ひかえめ', 'おくびょう', 'ずぶとい', 'おだやか', 'なまいき', 'すなお', 'むじゃき', 'うっかりや', 'まじめ', 'れいせい']","[45.6, 38.9, 13.0, 1.6, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",['おうごんのからだ'],[100.0],"['こだわりスカーフ', 'こだわりメガネ', 'おんみつマント', 'とつげきチョッキ', 'ふうせん', 'たべのこし', 'ゴツゴツメット', 'せんせいのツメ', 'グラスシード', 'じゃくてんほけん']","[38.6, 19.3, 13.5, 9.2, 4.3, 4.1, 3.6, 1.6, 0.7, 0.7]","['ひこう', 'はがね', 'みず', 'かくとう', 'ノーマル', 'ゴースト', 'フェアリー', 'あく', 'こおり', 'じめん']","[45.8, 16.3, 12.3, 9.8, 5.8, 3.6, 2.9, 2.0, 0.4, 0.3]"
0908-000,5,908,0,マスカーニャ,,マスカーニャ,"['はたきおとす', 'トリックフラワー', 'トリプルアクセル', 'とんぼがえり', 'ふいうち', 'けたぐり', 'トリック', 'どくびし', 'じゃれつく', 'やどりぎのタネ']","[94.9, 79.3, 64.0, 56.1, 21.4, 20.7, 16.9, 12.1, 9.9, 5.8]","['ようき', 'いじっぱり', 'おくびょう', 'むじゃき', 'ひかえめ', 'さみしがり', 'やんちゃ', 'きまぐれ', 'せっかち', 'わんぱく']","[65.2, 32.4, 0.5, 0.4, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1]","['へんげんじざい', 'しんりょく']","[89.4, 10.6]","['こだわりハチマキ', 'きあいのタスキ', 'こだわりスカーフ', 'いのちのたま', 'たべのこし', 'チイラのみ', 'こだわりメガネ', 'こうかくレンズ', 'たつじんのおび', 'オボンのみ']","[49.8, 23.8, 19.5, 2.1, 1.1, 0.6, 0.4, 0.3, 0.3, 0.3]","['あく', 'くさ', 'はがね', 'ゴースト', 'ステラ', 'フェアリー', 'ほのお', 'こおり', 'いわ', 'どく']","[48.2, 18.4, 11.1, 10.5, 5.0, 2.4, 1.6, 0.9, 0.7, 0.4]"
0445-000,6,445,0,ガブリアス,,ガブリアス,"['じしん', 'スケイルショット', 'テラバースト', 'げきりん', 'つるぎのまい', 'アイアンヘッド', 'ステルスロック', 'まきびし', 'みがわり', 'ドラゴンテール']","[98.2, 48.8, 47.4, 45.8, 45.0, 29.2, 18.4, 11.8, 10.5, 8.4]","['ようき', 'いじっぱり', 'わんぱく', 'しんちょう', 'むじゃき', 'やんちゃ', 'せっかち', 'さみしがり', 'おくびょう', 'ずぶとい']","[69.9, 23.2, 4.3, 1.3, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1]","['さめはだ', 'すながくれ']","[96.7, 3.3]","['こだわりハチマキ', 'いかさまダイス', 'ラムのみ', 'こだわりスカーフ', 'オボンのみ', 'とつげきチョッキ', 'ゴツゴツメット', 'きあいのタスキ', 'いのちのたま', 'ひかりのこな']","[35.8, 34.2, 5.4, 4.9, 3.8, 3.2, 3.1, 2.8, 2.0, 1.3]","['フェアリー', 'はがね', 'ほのお', 'でんき', 'じめん', 'みず', 'こおり', 'ドラゴン', 'どく', 'ゴースト']","[28.4, 24.8, 21.2, 8.9, 7.0, 6.7, 0.9, 0.7, 0.5, 0.3]"
0730-000,7,730,0,アシレーヌ,,アシレーヌ,"['ムーンフォース', 'うたかたのアリア', 'アクアジェット', 'クイックターン', 'サイコノイズ', 'アンコール', 'めいそう', 'みがわり', 'エナジーボール', 'テラバースト']","[91.3, 80.7, 56.9, 49.9, 27.9, 17.8, 16.3, 9.0, 8.8, 8.4]","['ひかえめ', 'ずぶとい', 'れいせい', 'のんき', 'おくびょう', 'おだやか', 'おっとり', 'なまいき', 'うっかりや', 'せっかち']","[65.0, 11.8, 10.3, 3.7, 3.2, 2.7, 1.1, 0.8, 0.3, 0.2]","['げきりゅう', 'うるおいボイス']","[81.0, 19.0]","['とつげきチョッキ', 'たべのこし', 'オボンのみ', 'ゴツゴツメット', 'きあいのタスキ', 'こだわりメガネ', 'こだわりスカーフ', 'おんみつマント', 'のどスプレー', 'しんぴのしずく']","[52.9, 12.9, 11.1, 4.8, 4.7, 4.1, 2.5, 1.9, 1.2, 0.6]","['ほのお', 'みず', 'どく', 'はがね', 'くさ', 'フェアリー', 'ひこう', 'じめん', 'でんき', 'ステラ']","[19.8, 19.4, 18.5, 12.3, 11.7, 5.3, 3.8, 3.2, 2.4, 0.8]"
0778-000,8,778,0,ミミッキュ,,ミミッキュ,"['じゃれつく', 'かげうち', 'つるぎのまい', 'のろい', 'ドレインパンチ', 'シャドークロー', 'トリックルーム', 'いたみわけ', 'トリック', 'みがわり']","[91.8, 86.9, 66.4, 41.8, 32.8, 28.4, 9.1, 8.2, 5.1, 4.1]","['ようき', 'いじっぱり', 'ゆうかん', 'わんぱく', 'おくびょう', 'むじゃき', 'のんき', 'せっかち', 'しんちょう', 'やんちゃ']","[47.2, 43.8, 4.4, 0.9, 0.9, 0.7, 0.4, 0.2, 0.2, 0.2]",['ばけのかわ'],[100.0],"['いのちのたま', 'こだわりスカーフ', 'ふうせん', 'ゴツゴツメット', 'レッドカード', 'ひかりのこな', 'メンタルハーブ', 'でんきだま', 'ラムのみ', 'フィラのみ']","[74.7, 5.6, 2.6, 2.3, 2.2, 1.6, 1.0, 0.9, 0.9, 0.7]","['ステラ', 'かくとう', 'ゴースト', 'フェアリー', 'ほのお', 'ノーマル', 'くさ', 'はがね', 'みず', 'ひこう']","[54.2, 21.7, 11.8, 5.1, 1.9, 1.5, 1.2, 1.1, 0.4, 0.3]"
0823-000,9,823,0,アーマーガア,,アーマーガア,"['はねやすめ', 'ボディプレス', 'とんぼがえり', 'ちょうはつ', 'てっぺき', 'つけあがる', 'ビルドアップ', 'アイアンヘッド', 'ブレイブバード', 'ドリルくちばし']","[98.2, 75.9, 68.8, 61.1, 38.1, 14.8, 13.5, 11.9, 6.4, 3.4]","['わんぱく', 'のんき', 'しんちょう', 'なまいき', 'いじっぱり', 'ずぶとい', 'ようき', 'すなお', 'おだやか', 'ゆうかん']","[57.3, 15.1, 12.1, 11.9, 1.0, 0.9, 0.5, 0.2, 0.2, 0.1]","['プレッシャー', 'ミラーアーマー', 'きんちょうかん']","[61.9, 37.3, 0.8]","['ゴツゴツメット', 'おんみつマント', 'オボンのみ', 'たべのこし', 'タラプのみ', 'メンタルハーブ', 'ラムのみ', 'こうこうのしっぽ', 'ひかりのねんど', 'あつぞこブーツ']","[66.7, 13.3, 6.5, 5.8, 2.6, 1.3, 0.4, 0.4, 0.3, 0.3]","['あく', 'かくとう', 'ドラゴン', 'フェアリー', 'ほのお', 'ひこう', 'みず', 'じめん', 'ノーマル', 'ゴースト']","[36.6, 20.2, 15.0, 5.3, 5.2, 4.8, 3.7, 3.1, 2.7, 1.5]"
0637-000,10,637,0,ウルガモス,,ウルガモス,"['ほのおのまい', 'ちょうのまい', 'ギガドレイン', 'あさのひざし', 'テラバースト', 'おにび', 'むしのさざめき', 'オーバーヒート', 'みがわり', 'とんぼがえり']","[96.1, 82.6, 44.6, 42.3, 41.2, 28.2, 25.9, 15.3, 7.2, 6.2]","['おくびょう', 'ひかえめ', 'ずぶとい', 'おだやか', 'おっとり', 'てれや', 'しんちょう', 'すなお', 'せっかち', 'がんばりや']","[38.1, 31.7, 26.6, 1.5, 0.2, 0.2, 0.2, 0.2, 0.1, 0.1]","['ほのおのからだ', 'むしのしらせ']","[94.3, 5.7]","['あつぞこブーツ', 'こだわりメガネ', 'ラムのみ', 'オボンのみ', 'こだわりスカーフ', 'たべのこし', 'アッキのみ', 'きあいのタスキ', 'ゴツゴツメット', 'いのちのたま']","[53.0, 11.2, 10.7, 6.0, 5.6, 3.7, 2.3, 1.8, 1.0, 0.9]","['フェアリー', 'くさ', 'みず', 'いわ', 'ほのお', 'こおり', 'むし', 'はがね', 'ひこう', 'でんき']","[38.1, 22.8, 8.7, 8.5, 7.6, 5.2, 2.3, 1.5, 1.0, 0.9]"
